 sample_idx,lead,heart_rate,r_peaks,pr_interval,qrs_complex,qt_interval,rr_interval,st_segment
914,II,96.750,[ 138  388  639  886 1136 1386 1636 1887 2134 2379 2625 2867],85.167,136.545,338.364,496.182,90.182
915,II,72.001,[ 188  525  858 1195 1531 1859 2185 2517 2855],54.889,128.571,231.000,666.750,72.571
916,II,64.604,[ 238  610  964 1333 1718 2090 2457 2840],77.000,170.857,255.429,743.429,19.500
917,II,78.955,[ 394  701 1009 1315 1620 1925 2227 2527 2826],81.333,123.250,339.750,608.000,109.778
918,II,95.905,[ 142  393  641  892 1144 1396 1644 1893 2145 2397 2641 2895],73.200,151.818,353.818,500.545,97.455
919,II,57.466,[ 130  545  959 1372 1791 2214 2636],103.667,194.667,319.333,835.333,2.500
920,II,71.661,[ 167  550  823  993 1440 1887 2325 2764],69.429,174.000,300.000,742.000,85.000
921,II,47.026,[ 287  765 1292 1804 2338 2842],68.667,147.200,348.400,1022.000,125.600
922,II,80.132,[ 152  452  730 1046 1342 1642 1946 2250 2552 2850],74.200,124.444,245.556,599.556,54.800
923,II,49.107,[ 354  854 1345 1832 2314 2798],93.000,269.200,483.200,977.600,83.600
924,II,67.309,[ 167  525  880 1239 1595 1949 2307 2663],65.250,108.000,360.571,713.143,148.750
925,II,59.227,[ 229  450  949 1443 1946 2444],56.800,132.400,372.800,886.000,152.667
926,II,67.084,[ 352  702 1057 1424 1791 2146 2498 2857],60.500,154.000,366.000,715.714,76.500
927,II,56.694,[ 123  548  975 1395 1816 2240 2663],99.667,127.200,356.400,846.667,105.667
928,II,82.969,[ 259  541  829 1117 1407 1695 1980 2269 2566 2863],86.400,108.000,210.444,578.667,54.000
929,II,62.810,[ 140  517  904 1289 1672 2052 2439 2815],57.143,115.333,378.000,764.286,147.000
930,II,57.861,[ 311  734 1149 1567 1978 2391 2800],98.857,156.000,336.000,829.667,121.000
931,II,85.232,[ 363  648  938 1227 1506 1781 2061 2344 2622 2898],70.600,151.778,361.333,563.333,100.000
932,II,74.132,[ 310  631  954 1278 1603 1927 2252 2577 2900],88.667,101.750,343.500,647.500,141.250
933,II,80.373,[ 196  485  774 1067 1364 1666 1962 2265 2575 2885],97.600,134.000,338.444,597.556,58.889
934,II,54.244,[ 247  665 1108 1548 1986 2443 2904],75.429,104.500,330.333,885.667,116.000
935,II,62.031,[ 612 1162 1470 1695 2228 2779],61.333,113.500,416.000,866.800,162.000
936,II,71.171,[ 217  588  957 1321 1691 2046 2227 2783],81.000,134.000,236.286,733.143,36.500
937,II,86.126,[ 357  642  915 1185 1456 1740 2018 2299 2587 2866],74.200,100.222,280.667,557.556,84.889
938,II,83.029,[ 353  637  922 1212 1502 1798 2083 2369 2666],82.667,163.000,337.500,578.250,85.778
939,II,86.431,[ 234  463  784 1066 1346 1624 1904 2189 2471 2748],76.400,124.500,346.500,558.667,104.800
940,II,79.416,[ 405  701  998 1301 1606 1913 2217 2517 2823],44.444,130.250,277.500,604.500,72.444
941,II,39.689,[ 480 1076 1679 2289 2899],95.600,164.500,263.000,1209.500,-21.500
942,II,84.685,[ 280  566  852 1138 1423 1734 1988 2271 2556 2836],39.200,101.111,165.111,568.000,15.000
943,II,68.773,[ 150  502  850 1193 1540 1893 2242 2593],83.714,97.143,297.143,698.000,94.750
944,II,45.093,[ 596 1126 1660 2196 2725],82.000,174.000,442.500,1064.500,135.200
945,II,101.499,[ 328  571  811 1048 1286 1524 1761 1996 2227 2460 2693],63.818,99.400,294.400,473.000,84.545
946,II,68.140,[ 204  553  906 1259 1604 1952 2308 2670],81.750,82.286,309.143,704.571,148.500
947,II,47.662,[ 140 1031 1480 1921 2369 2823],73.200,170.667,324.000,1073.200,3.000
948,II,86.305,[ 178  452  727 1004 1285 1573 1863 2139 2414 2682],86.200,117.750,328.000,556.444,116.222
949,II,66.724,[ 363  727 1086 1448 1809 2163 2520 2881],91.250,165.143,372.571,719.429,105.143
950,II,72.738,[ 397  727 1071 1391 1714 2050 2371 2708],51.250,173.667,338.571,660.286,136.000
951,II,71.218,[ 382  717 1053 1390 1729 2066 2402 2741],93.500,139.429,354.571,674.000,127.000
952,II,69.928,[ 327  661 1002 1347 1690 2030 2377 2730],44.250,114.857,355.714,686.571,149.750
953,II,66.519,[ 391  746 1103 1467 1828 2190 2556],75.429,166.333,418.333,721.667,121.429
