p_peaks,p_onsets,p_offsets,q_peaks,r_onsets,r_offsets,s_peaks,t_peaks,t_onsets,t_offsets,sample_idx,lead,heart_rate,r_peaks,pr_interval,qrs_complex,qt_interval,rr_interval,st_segment
0.130,"[514, 1014, 1568, 2106, 2654, 3158, 3644, 4146, 4674, 5166, 5654]","[552, 1084, 1618, 2156, 2700, 3222, 3722, 4230, 4708, 5216, 5736]",-0.155,"[566, 1062, 1590, 2172, 2680, 3184, 3688, 4190, 4718, 5194, nan]","[670, 1164, 1694, 2266, 2790, 3302, 3794, 4300, 4808, 5304, nan]",-0.173,0.145,"[866, 1328, 1790, 2306, 2930, 3464, 3952, 4460, 4958, 5436, nan]","[894, 1386, 1948, 2348, 3034, 3500, 4014, 4498, 5020, 5506, nan]",1247,II,93.810,[ 319  567  830 1107 1378 1634 1881 2133 2388 2635 2881],58.727,104.800,310.400,512.400,139.800
0.151,"[786, 1532, 2306, 3076, 3840, 4594, 5354]","[860, 1606, 2372, 3158, 3922, 4666, 5422]",-0.197,"[876, 1566, 2386, 3172, 3892, 4676, nan]","[982, 1744, 2482, 3278, 4032, 4770, 5514]",-0.109,0.233,"[1108, 1898, 2648, 3382, 4170, 4922, 5688]","[1186, 1938, 2728, 3508, 4258, 5044, 5718]",1248,II,63.141,[ 459  834 1220 1607 1990 2366 2740],74.000,120.000,349.000,760.333,144.857
0.014,"[674, 1490, 2338, 3178, 4036, 4834]","[728, 1526, 2422, 3268, 4096, 4920]",-0.092,"[754, 1578, 2386, 3284, 4108, nan]","[884, 1736, 2564, 3414, 4224, 5050]",-0.177,0.285,"[1016, 1860, 2688, 3512, 4402, 5190]","[1116, 1958, 2784, 3634, 4484, 5292]",1249,II,57.514,[ 409  836 1245 1668 2087 2496],68.333,142.400,373.200,834.800,132.667
0.079,"[548, 1146, 1782, 2352, 2944, 3546, 4156, 4740, 5328]","[612, 1204, 1832, 2422, 3032, 3622, 4212, 4798, 5416]",-0.108,"[638, 1214, 1878, 2390, 2998, 3582, 4274, 4776, nan]","[764, 1364, 1960, 2566, 3162, 3760, 4360, 4952, 5532]",-0.091,0.085,"[862, 1496, 2124, 2680, 3192, 3890, 4490, 4964, 5642]","[990, 1570, 2188, 2780, 3224, 3964, 4580, 4998, 5754]",1250,II,80.514,[ 363  663  965 1264 1561 1859 2161 2458 2748],67.556,142.250,318.000,596.250,102.222
0.234,"[638, 1240, 1828, 2414, 2992, 3578, 4186, 4790, 5368]","[716, 1318, 1908, 2494, 3072, 3660, 4264, 4868, 5448]",-0.214,"[682, 1282, 1874, 2460, 3036, 3622, 4228, 4834, nan]","[962, 1438, nan, nan, nan, nan, 4520, 5118, 5586]",-0.212,0.270,"[920, 1516, 2114, 2690, 3270, 3856, 4468, 5054, 5636]","[1030, 1630, 2222, 2802, 3382, 3968, 4576, 5178, 5760]",1251,II,81.205,[ 388  688  983 1276 1565 1858 2161 2463 2753],79.333,253.000,346.250,591.250,-6.000
0.015,"[442, 1220, 2008, 2764, 3548, 4314, 5062, 5534]","[492, 1270, 2054, 2812, 3586, 4358, 5104, 5608]",-0.101,"[502, 1284, 2030, 2830, 3604, 4366, 5118, nan]","[612, 1392, 2174, 2936, 3710, 4480, 5228, nan]",-0.413,0.195,"[734, 1532, 2312, 2970, 3850, 4618, 5370, nan]","[894, 1676, 2448, 3034, 3990, 4758, 5532, nan]",1252,II,64.809,[ 287  678 1068 1449 1836 2221 2594 2896],49.000,114.000,371.143,745.429,122.000
0.006,"[938, 1752, 2524, 3280, 4082, 4898]","[1060, 1790, 2612, 3360, 4168, 4990]",-0.199,"[1048, 1856, 2628, 3388, 4188, nan]","[1122, 1928, 2704, 3462, 4266, 5084]",-0.061,0.335,"[1250, 2084, 2846, 3602, 4410, 5224]","[1364, 2170, 2940, 3696, 4498, 5314]",1253,II,60.708,[ 544  948 1334 1713 2114 2522],84.333,74.800,312.000,791.200,141.667
0.185,"[nan, 840, 1640, 2362, 3158, 3926, 4642, 5404]","[nan, 944, 1706, 2462, 3222, 3990, 4742, 5506]",-0.075,"[nan, 968, 1728, 2434, 3190, 4012, 4702, nan]","[304, 1058, 1822, 2580, 3338, 4106, 4858, 5622]",-0.508,0.043,"[nan, 1190, 1946, 2706, 3470, 4194, 4994, 5642]","[364, 1238, 2014, 2780, 3530, 4222, 5048, 5674]",1254,II,63.208,[ 132  509  890 1269 1648 2032 2408 2790],85.714,121.333,299.667,759.429,108.286
0.159,"[372, 1056, 1736, 2418, 3088, 3742, 4330, 5044]","[448, 1124, 1804, 2490, 3150, 3810, 4360, 5062]",-0.096,"[430, 1096, 1776, 2458, 3128, 3786, 4452, nan]","[528, 1200, 1884, 2564, 3236, 3892, 4554, 5222]",-0.192,0.291,"[632, 1336, 2048, 2702, 3362, 3998, 4678, 5364]","[772, 1422, 2100, 2794, 3438, 4118, 4780, 5448]",1255,II,71.651,[ 248  581  922 1262 1597 1925 2258 2593],57.750,104.571,328.286,670.000,130.000
0.145,"[664, 1274, 1870, 2494, 3092, 3744, 4332, 4978, 5588]","[736, 1300, 1970, 2534, 3192, 3784, 4446, 5052, 5662]",-0.035,"[698, 1318, 1930, 2588, 3210, 3794, 4390, 5002, nan]","[834, 1450, 2066, 2686, 3302, 3920, 4534, 5150, nan]",-0.471,-0.009,"[870, 1474, 2050, 2666, 3314, 3902, 4516, 5340, nan]","[898, 1500, 2084, 2726, 3340, 3948, 4568, 5382, nan]",1256,II,77.859,[ 389  697 1006 1314 1622 1930 2237 2546 2855],71.111,126.500,189.500,616.500,23.750
0.108,"[512, 1330, 2094, 2878, 3682, 4476, 5258]","[554, 1404, 2172, 2964, 3756, 4550, 5332]",-0.027,"[564, 1370, 2188, 2970, 3710, 4530, nan]","[702, 1520, 2292, 3072, 3868, 4668, 5448]",-0.225,0.057,"[686, 1594, 2278, 3160, 3880, 4680, 5490]","[726, 1636, 2330, 3198, 3910, 4708, 5520]",1257,II,60.702,[ 330  739 1126 1516 1914 2314 2703],71.714,131.667,196.000,791.000,28.286
0.008,"[284, 960, 1626, 2290, 2962, 3620, 4280, 4942, 5644]","[326, 1050, 1680, 2348, 3012, 3676, 4326, 4980, 5686]",-0.091,"[350, 1022, 1696, 2362, 3032, 3692, 4396, 5006, nan]","[472, 1152, 1822, 2482, 3154, 3816, 4468, 5128, 5790]",-0.056,0.105,"[556, 1270, 1934, 2614, 3180, 3882, 4550, 5240, 5834]","[668, 1330, 2002, 2726, 3220, 3994, 4654, 5358, nan]",1258,II,72.268,[ 221  559  894 1227 1560 1890 2218 2547 2878],52.889,117.250,299.500,664.250,86.222
0.168,"[512, 1080, 1644, 2208, 2754, 3292, 3848, 4402, 4964, 5518]","[606, 1164, 1728, 2290, 2844, 3382, 3932, 4490, 5046, 5606]",-0.206,"[566, 1126, 1692, 2256, 2802, 3344, 3948, 4456, 5012, nan]","[736, 1316, 1866, 2412, 2986, nan, 4060, 4614, 5194, 5776]",-0.197,0.425,"[834, 1394, 1958, 2520, 3066, 3608, 4164, 4718, 5280, 5836]","[924, 1488, 2052, 2614, 3166, 3708, 4260, 4820, 5372, nan]",1259,II,86.379,[ 335  615  898 1179 1453 1723 2000 2278 2557 2836],86.600,165.750,355.778,555.778,90.000
0.010,"[198, 718, 1242, 1754, 2288, 2836, 3364, 3886, 4430, 4960, 5498]","[284, 806, 1290, 1850, 2398, 2922, 3450, 3988, 4526, 5064, 5596]",-0.219,"[252, 760, 1352, 1824, 2350, 2886, 3422, 3950, 4478, 5016, nan]","[456, 1050, 1558, 2006, 2518, 3072, 3634, 4236, 4654, 5308, 5840]",-0.222,0.259,"[476, 1014, 1478, 2060, 2594, 3132, 3674, 4182, 4730, 5262, 5788]","[588, 1102, 1636, 2160, 2694, 3238, 3772, 4288, 4824, 5362, nan]",1260,II,90.469,[ 176  438  700  964 1231 1499 1765 2030 2297 2565 2829],90.909,220.200,337.400,530.600,5.273
0.168,"[460, 862, 1490, 2118, 2494, 2928, 3638, 3978, 4618, 5152]","[540, 978, 1578, 2182, 2616, 3050, 3678, 4088, 4732, 5184]",-0.022,"[560, 998, 1624, 2218, 2656, 3098, 3696, 4140, 4682, nan]","[716, 1112, 1746, 2362, 2794, 3210, 3838, 4258, 4880, 5284]",-0.462,0.123,"[672, 1122, 1708, 2328, 2752, 3226, 3800, 4228, 4808, 5298]","[740, 1268, 1780, 2400, 2878, 3358, 3912, 4286, 4920, 5432]",1261,II,95.148,[ 308  535  831 1140 1352 1588 1873 2088 2390 2622],88.800,138.222,207.778,514.222,-25.800
0.109,"[630, 1310, 1892, 2452, 3018, 3720, 4262, 4870, 5460]","[668, 1342, 1916, 2502, 3068, 3764, 4294, 4914, 5532]",0.017,"[728, 1362, 1978, 2548, 3180, 3806, 4322, 4972, nan]","[842, 1488, 2086, 2670, 3280, 3912, 4456, 5078, 5718]",-1.114,0.049,"[968, 1468, 2178, 2746, 3302, 3892, 4542, 5170, 5694]","[1034, 1522, 2270, 2874, 3326, 3952, 4646, 5258, 5782]",1262,II,79.009,[ 396  718 1017 1310 1614 1930 2202 2512 2832],42.889,114.500,248.250,609.000,47.778
0.214,"[184, 922, 1666, 2394, 3132, 3884, 4626, 5350]","[260, 1000, 1744, 2472, 3208, 3960, 4704, 5428]",-0.190,"[306, 1044, 1720, 2518, 3186, 3938, 4674, nan]","[384, 1188, 1868, 2592, 3376, 4144, 4860, 5550]",-0.051,0.291,"[504, 1250, 1990, 2710, 3448, 4206, 4942, 5660]","[624, 1368, 2108, 2830, 3580, 4324, 5066, 5794]",1263,II,65.075,[ 174  544  916 1278 1648 2024 2394 2756],77.250,146.571,359.143,737.714,93.500
0.013,"[198, 844, 1514, 2194, 2862, 3572, 4298, 5010]","[254, 918, 1586, 2272, 2952, 3648, 4350, 5068]",-0.152,"[218, 948, 1616, 2296, 2982, 3692, 4394, nan]","[362, 1034, 1706, 2378, 3074, 3780, 4476, 5188]",-0.386,0.345,"[470, 1130, 1832, 2492, 3138, 3874, 4618, 5302]","[580, 1250, 1934, 2608, 3302, 4002, 4710, 5416]",1264,II,69.627,[ 158  494  828 1167 1513 1864 2215 2572],69.500,94.857,320.000,689.714,107.250
0.071,"[492, 1202, 1876, 2462, 2858, 3376, 3848, 4316, 5218]","[566, 1256, 1918, 2504, 2958, 3428, 3898, 4358, 5278]",0.022,"[542, 1340, 1900, 2514, nan, 3456, 3876, 4416, nan]","[nan, 1410, 2040, 2672, nan, 3538, 3984, 4496, 5396]",-0.271,-0.008,"[nan, 1428, 2086, 2704, nan, 3524, 4020, 4482, 5412]","[nan, 1492, 2122, 2734, nan, 3592, 4064, 4534, 5470]",1265,II,85.992,[ 311  687 1002 1317 1523 1750 1973 2229 2681],57.333,106.333,172.667,592.500,17.143
0.207,"[240, 1106, 1942, 2802, 3660, 4496, 5354]","[342, 1198, 2046, 2898, 3750, 4606, 5468]",-0.080,"[312, 1166, 2016, 2866, 3714, 4572, nan]","[490, 1356, 2162, 3038, 3898, 4734, 5608]",-0.235,0.012,"[594, 1410, 2304, 3212, 3958, 4912, 5738]","[710, 1562, 2372, 3278, 4114, 4964, 5838]",1266,II,56.361,[ 210  637 1060 1487 1913 2339 2765],101.143,172.000,392.333,851.667,120.286
0.099,"[698, 1468, 2264, 3036, 3858, 4658, 5418]","[776, 1550, 2354, 3118, 3938, 4734, 5496]",-0.135,"[830, 1516, 2392, 3172, 3990, 4794, nan]","[972, 1730, 2506, 3302, 4116, 4944, 5650]",-0.110,0.378,"[1064, 1826, 2626, 3398, 4220, 5022, 5780]","[1162, 1932, 2722, 3504, 4320, 5128, nan]",1267,II,61.050,[ 436  823 1218 1606 2015 2417 2796],80.857,146.000,345.667,786.667,102.286
0.189,"[242, 1032, 1826, 2602, 3404, 4180, 4968]","[318, 1114, 1908, 2684, 3484, 4278, 5056]",-0.015,"[296, 1086, 1884, 2660, 3458, 4254, nan]","[466, 1258, 2054, 2828, 3628, 4422, 5192]",-1.912,0.217,"[526, 1386, 2102, 2952, 3754, 4372, 5142]","[570, 1512, 2144, 3078, 3816, 4468, 5240]",1268,II,60.951,[ 189  585  983 1370 1770 2167 2552],84.000,169.667,325.000,787.667,55.143
0.133,"[756, 1412, 2096, 2750, 3444, 4132, 4800, 5312]","[786, 1454, 2134, 2816, 3496, 4176, 4838, 5338]",-0.182,"[858, 1538, 2228, 2898, 3580, 4264, 4934, nan]","[936, 1624, 2310, 2980, 3664, 4352, 5024, nan]",-0.088,0.001,"[952, 1610, 2334, 3046, 3652, 4340, 5036, nan]","[996, 1678, 2368, 3080, 3692, 4372, 5060, nan]",1269,II,75.061,[ 454  792 1135 1471 1811 2155 2492 2726],42.000,84.286,135.143,649.143,11.429
0.006,"[nan, 664, 1540, 2472, 3362, 3858, 4356, 5238]","[234, 716, 1606, 2516, 3410, 3884, 4400, 5274]",-0.012,"[336, 748, 1586, 2568, 3520, 4016, 4380, nan]","[402, 892, 1794, 2716, 3614, 4080, 4574, 5474]",-0.051,0.021,"[470, 1022, 1928, 2854, 3732, 4102, 4556, 5456]","[534, 1124, 2032, 2942, 3850, 4150, 4618, 5514]",1270,II,72.625,[ 187  421  873 1330 1780 2022 2261 2711],45.143,131.143,299.429,721.143,71.750
0.057,"[392, 1116, 1826, 2544, 3254, 3976, 4672, 5384]","[458, 1186, 1894, 2614, 3334, 4036, 4762, 5472]",-0.142,"[502, 1226, 1860, 2580, 3298, 4042, 4724, nan]","[600, 1310, 2032, 2748, 3454, 4170, 4876, 5588]",-0.073,0.105,"[762, 1324, 2054, 2894, 3566, 4278, 5038, 5744]","[808, 1356, 2080, 2948, 3640, 4340, 5074, 5790]",1271,II,67.310,[ 278  637  994 1351 1710 2065 2421 2774],74.000,136.857,287.714,713.143,110.250
0.336,"[208, 528, 868, 1532, 2178, 2828, 3464, 4108, 4772, 5302]","[280, 648, 988, 1606, 2252, 2894, 3538, 4186, 4858, 5342]",-0.403,"[252, 692, 922, 1618, 2286, 2918, 3556, 4156, 4820, nan]","[398, 814, 1146, 1728, 2372, 3012, 3652, 4306, 4968, 5542]",-0.562,0.455,"[564, 874, 1244, 1882, 2534, 3124, 3808, 4444, 5112, 5594]","[648, 988, 1378, 1966, 2612, 3272, 3934, 4546, 5208, 5630]",1272,II,88.429,[ 180  394  554  844 1167 1487 1807 2133 2464 2747],80.400,130.667,370.222,570.444,124.200
0.201,"[608, 1238, 1884, 2532, 3190, 3830, 4472, 5120, 5624]","[702, 1328, 1974, 2620, 3274, 3920, 4562, 5208, 5688]",-0.072,"[720, 1290, 1932, 2584, 3236, 3886, 4524, 5162, nan]","[828, 1454, 2094, 2744, 3398, 4046, 4690, 5330, nan]",-0.814,0.260,"[954, 1590, 2232, 2872, 3514, 4190, 4822, 5454, nan]","[1058, 1686, 2326, 2984, 3634, 4282, 4930, 5566, nan]",1273,II,76.769,[ 389  702 1021 1347 1673 1998 2320 2640 2901],86.444,156.250,391.500,628.000,130.500
0.121,"[228, 720, 1218, 1722, 2214, 2712, 3206, 3712, 4234, 4708, 5204]","[314, 822, 1312, 1784, 2298, 2784, 3282, 3798, 4296, 4770, 5292]",-0.206,"[272, 768, 1264, 1794, 2274, 2754, 3260, 3764, 4270, 4776, nan]","[nan, nan, nan, nan, 2382, nan, 3384, 3884, nan, nan, 5378]",-0.314,-0.234,"[nan, nan, nan, nan, 2420, nan, 3420, 3948, nan, nan, 5466]","[nan, nan, nan, nan, 2466, nan, 3450, 3982, nan, nan, 5498]",1274,II,96.505,[ 188  437  685  932 1179 1430 1679 1930 2179 2428 2675],79.455,117.333,200.000,497.400,56.500
0.217,"[726, 1592, 2512, 3406, 4262, 5114]","[812, 1670, 2588, 3484, 4342, 5192]",-0.099,"[772, 1634, 2550, 3448, 4306, nan]","[912, 1776, 2690, 3588, 4444, 5296]",-0.370,0.008,"[1008, 1836, 2768, 3668, 4490, 5356]","[1108, 1980, 2888, 3714, 4570, 5496]",1275,II,54.832,[ 435  866 1323 1772 2200 2625],79.333,140.000,310.000,876.000,70.000
0.057,"[828, 1910, 3022, 4100, 5256]","[916, 2014, 3120, 4192, 5362]",-0.476,"[956, 2032, 3158, 4234, nan]","[1048, 2146, nan, nan, nan]",-0.087,1.338,"[1200, 2272, 3394, 4464, 5634]","[1322, 2412, 3516, 4596, 5756]",1276,II,43.331,[ 503 1049 1604 2140 2720],97.600,103.000,366.500,1108.500,139.000
0.089,"[296, 1068, 1846, 2626, 3414, 4192, 4972]","[386, 1162, 1936, 2712, 3500, 4286, 5060]",-0.192,"[416, 1194, 1966, 2746, 3528, 4312, nan]","[556, 1274, 2044, nan, 3610, nan, 5172]",-0.135,0.464,"[638, 1410, 2190, 2968, 3750, 4532, 5308]","[738, 1522, 2286, 3070, 3858, 4642, 5416]",1277,II,61.567,[ 229  618 1004 1393 1786 2178 2568],89.714,95.000,325.667,779.667,128.000
0.162,"[744, 1496, 2248, 3018, 3790, 4548, 5316]","[824, 1586, 2340, 3102, 3876, 4636, 5396]",-0.132,"[858, 1558, 2372, 3076, 3908, 4610, nan]","[944, 1708, 2462, 3226, 4002, 4758, 5518]",-0.297,0.312,"[1090, 1836, 2592, 3370, 4132, 4886, 5624]","[1190, 1958, 2724, 3480, 4258, 5016, 5776]",1278,II,62.995,[ 452  832 1210 1592 1979 2358 2738],85.714,119.667,374.000,762.000,130.286
0.166,"[624, 1440, 2250, 3038, 3852, 4648, 5452]","[698, 1516, 2320, 3124, 3952, 4766, 5540]",-0.090,"[730, 1484, 2334, 3168, 3902, 4710, nan]","[890, 1708, 2516, 3314, 4116, 4924, nan]",-0.818,0.302,"[976, 1790, 2592, 3400, 4182, 4988, nan]","[1130, 1952, 2758, 3540, 4366, 5154, nan]",1279,II,59.606,[ 397  805 1209 1607 2011 2414 2813],87.429,190.000,428.667,805.333,76.667
0.122,"[nan, 800, 1514, 2296, 3080, 3904, 4722, 5526]","[nan, 904, 1624, 2398, 3182, 3962, 4822, 5602]",-0.174,"[nan, 874, 1584, 2346, 3156, 4030, 4828, nan]","[338, 1016, 1732, 2502, 3290, 4102, 4926, 5740]",-0.124,0.276,"[478, 1164, 1912, 2666, 3488, 4278, 5086, 5778]","[600, 1264, 1988, 2754, 3540, 4384, 5190, 5826]",1280,II,62.509,[ 155  492  850 1236 1630 2036 2449 2854],93.143,125.000,383.667,771.143,150.500
0.089,"[292, 874, 1506, 2058, 2644, 3210, 3772, 4340, 4930, 5490]","[354, 980, 1574, 2172, 2750, 3316, 3882, 4448, 5032, 5612]",-0.191,"[364, 944, 1520, 2108, 2698, 3272, 3836, 4414, 4988, nan]","[490, 1066, 1660, 2286, 2870, 3416, 4040, 4564, 5144, 5696]",-0.148,0.221,"[636, 1180, 1732, 2366, 2920, 3520, 4050, 4696, 5182, 5830]","[676, 1284, 1868, 2462, 3042, 3618, 4184, 4756, 5334, nan]",1281,II,82.717,[ 217  510  806 1104 1394 1677 1960 2247 2536 2829],100.400,154.667,342.222,580.444,88.000
0.057,"[350, 892, 1412, 1960, 2438, 2944, 3480, 3992, 4470, 4986, 5488]","[446, 948, 1472, 2000, 2524, 3036, 3544, 4062, 4532, 5044, 5540]",-0.199,"[420, 960, 1478, 2018, 2556, 3054, 3524, 4038, 4576, 5056, nan]","[540, 1096, 1604, 2144, 2630, 3150, 3652, 4202, 4676, 5174, 5666]",-0.237,0.390,"[656, 1188, 1734, 2252, 2754, 3274, 3780, 4274, 4800, 5296, 5794]","[750, 1288, 1810, 2328, 2836, 3338, 3858, 4342, 4852, 5374, nan]",1282,II,93.649,[ 250  522  784 1041 1297 1552 1804 2055 2307 2562 2814],66.909,118.800,309.600,512.800,115.273
-0.101,"[420, 1560, 2834, 3954, 4950]","[454, 1588, 2936, 4054, 4984]",-0.204,"[618, 1650, 2982, 3980, nan]","[716, 1830, 3082, 4170, 5248]",-0.315,0.711,"[842, 1964, 3216, 4316, 5382]","[976, 2088, 3346, 4428, 5504]",1283,II,42.534,[ 334  889 1517 2060 2598],59.600,142.000,402.000,1132.000,134.800
0.155,"[588, 1346, 2106, 2862, 3660, 4424, 5190]","[650, 1428, 2206, 2962, 3726, 4506, 5242]",-0.112,"[604, 1372, 2218, 2984, 3688, 4522, nan]","[774, 1536, 2350, 3090, 3858, 4644, 5382]",-0.118,0.108,"[912, 1700, 2462, 3224, 3972, 4756, 5520]","[1014, 1766, 2510, 3266, 4068, 4872, 5606]",1284,II,62.542,[ 368  752 1145 1525 1909 2298 2671],77.714,144.000,351.333,767.667,130.286
0.130,"[710, 1568, 2438, 3286, 4120, 4978]","[822, 1670, 2534, 3390, 4246, 5080]",-0.068,"[758, 1630, 2494, 3430, 4182, nan]","[942, 1808, 2682, 3530, 4360, 5210]",-0.420,0.155,"[1096, 1990, 2864, 3704, 4412, 5390]","[1214, 2086, 2924, 3786, 4454, 5488]",1285,II,56.297,[ 437  871 1305 1730 2147 2569],107.000,165.600,394.000,852.800,154.000
0.134,"[422, 1164, 1872, 2570, 3276, 4020, 4780, 5526]","[502, 1246, 1954, 2654, 3362, 4100, 4848, 5598]",-0.099,"[456, 1196, 1968, 2612, 3312, 4064, 4886, nan]","[608, 1346, 2068, 2760, 3464, 4210, 4964, 5712]",-0.170,0.084,"[784, 1530, 2206, 2914, 3450, 4368, 4950, 5698]","[848, 1594, 2336, 3000, 3496, 4446, 4988, 5754]",1286,II,65.938,[ 285  654 1014 1360 1711 2085 2462 2835],79.250,132.286,316.286,728.571,96.000
0.166,"[928, 1812, 2658, 3530, 4422, 5296]","[1030, 1918, 2758, 3650, 4524, 5402]",-0.151,"[1000, 1878, 2728, 3596, 4486, nan]","[1136, 2014, 2860, 3732, 4622, 5500]",-0.130,0.333,"[1284, 2170, 3020, 3872, 4774, 5670]","[1402, 2282, 3126, 3996, 4898, 5844]",1287,II,54.960,[ 549  988 1410 1848 2293 2733],106.000,135.200,403.200,873.600,154.333
0.191,"[nan, 916, 1734, 2544, 3362, 4184, 4998]","[nan, 1030, 1842, 2662, 3464, 4286, 5112]",-0.030,"[nan, 992, 1794, 2618, 3428, 4246, nan]","[nan, nan, nan, nan, nan, nan, nan]",-1.152,,"[nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan]",1288,II,58.801,[ 132  539  948 1353 1760 2170 2581],109.667,,,816.333,
0.255,"[484, 1210, 1940, 2670, 3368, 4100, 4798, 5502]","[558, 1294, 2028, 2740, 3448, 4172, 4878, 5578]",-0.306,"[624, 1358, 2092, 2804, 3516, 4238, 4940, nan]","[684, 1418, 2152, 2866, 3576, 4298, 5002, 5706]",-0.079,0.234,"[948, 1684, 2352, 3100, 3836, 4524, 5192, 5764]","[1016, 1756, 2502, 3232, 3926, 4650, 5360, 5818]",1290,II,66.922,[ 328  695 1062 1418 1774 2135 2486 2839],78.000,60.571,410.000,717.429,212.250
0.163,"[528, 1122, 1722, 2290, 2922, 3524, 4096, 4680, 5300]","[576, 1224, 1812, 2394, 2998, 3598, 4148, 4770, 5368]",-0.150,"[560, 1270, 1838, 2364, 3038, 3644, 4218, 4788, nan]","[750, 1350, 1938, 2522, 3128, 3732, 4320, 4906, 5496]",-0.634,0.431,"[846, 1446, 2030, 2626, 3220, 3802, 4430, 5016, 5598]","[968, 1566, 2162, 2748, 3352, 3918, 4538, 5122, 5708]",1291,II,80.956,[ 352  652  946 1237 1539 1839 2136 2428 2724],78.222,115.750,331.750,593.000,96.889
0.013,"[562, 1606, 2470, 3124, 3750, 4680, 5420]","[646, 1684, 2548, 3204, 3834, 4758, 5496]",-0.219,"[612, 1648, 2518, 3170, 3802, 4728, nan]","[nan, nan, nan, nan, nan, nan, 5614]",-0.138,0.499,"[866, 1896, 2766, 3422, 4054, 4980, 5716]","[968, 2012, 2874, 3528, 4156, 5082, 5818]",1292,II,61.122,[ 359  875 1308 1636 1951 2412 2781],79.714,,357.000,807.333,102.000
0.037,"[782, 1732, 2620, 3312, 4264, 5166]","[862, 1824, 2700, 3390, 4340, 5246]",-0.224,"[902, 1846, 2734, 3426, 4374, nan]","[nan, nan, 2824, nan, 4514, nan]",-0.111,0.473,"[1114, 2052, 2946, 3638, 4594, 5488]","[1230, 2178, 3062, 3754, 4708, 5606]",1293,II,55.444,[ 474  946 1389 1737 2209 2662],81.000,115.000,330.000,875.200,101.000
0.101,"[586, 1258, 1826, 2510, 3124, 3734, 4402, 5010]","[670, 1306, 1906, 2566, 3182, 3818, 4456, 5082]",-0.132,"[722, 1318, 1968, 2580, 3232, 3776, 4422, nan]","[850, 1470, 2096, 2726, 3356, 3986, 4582, 5256]",-0.479,0.311,"[946, 1550, 2194, 2836, 3468, 4082, 4714, 5366]","[1060, 1664, 2278, 2912, 3560, 4178, 4798, 5408]",1294,II,76.161,[ 385  698 1009 1326 1642 1955 2274 2591],67.000,149.714,347.429,630.286,104.250
0.056,"[494, 1256, 2034, 2816, 3584, 4354, 5124]","[562, 1324, 2108, 2888, 3654, 4428, 5196]",-0.106,"[576, 1338, 2122, 2904, 3666, 4436, nan]","[774, 1554, 2332, 3082, 3876, 4628, 5416]",-0.096,0.161,"[896, 1654, 2442, 3224, 3996, 4766, 5528]","[1004, 1768, 2558, 3338, 4094, 4850, 5634]",1295,II,62.154,[ 349  731 1122 1512 1894 2280 2666],71.143,200.667,428.333,772.333,120.571
0.186,"[1164, 2364, 3566, 4872, 5182]","[1206, 2454, 3602, 4946, 5242]",0.007,"[1354, 2424, 3712, 4916, nan]","[1466, 2554, 3854, 5048, 5470]",-0.855,0.393,"[1622, 2724, 4036, 5190, 5626]","[1762, 2852, 4150, 5242, 5710]",1296,II,57.527,[ 708 1251 1902 2499 2702],60.400,129.000,400.000,997.000,161.200
0.165,"[nan, 860, 1570, 2280, 2982, 3714, 4424, 5104, 5672]","[234, 932, 1660, 2356, 3058, 3792, 4504, 5184, 5700]",-0.173,"[264, 958, 1678, 2386, 3082, 3822, 4524, 5200, nan]","[342, 1038, 1756, 2464, 3166, 3900, 4612, 5292, nan]",-0.506,0.165,"[438, 1086, 1902, 2558, 3250, 3994, 4668, 5426, nan]","[570, 1310, 2010, 2702, 3396, 4144, 4854, 5460, nan]",1297,II,69.765,[ 151  500  858 1212 1563 1930 2286 2626 2915],72.500,82.000,316.500,691.000,94.000
0.192,"[nan, 696, 1320, 1918, 2590, 3188, 3824, 4458, 5046]","[166, 768, 1386, 2028, 2650, 3258, 3904, 4514, 5114]",-0.190,"[204, 718, 1346, 2076, 2672, 3218, 3948, 4486, nan]","[302, 900, 1520, 2164, 2794, 3388, 4026, 4674, 5270]",-0.401,0.320,"[414, 1006, 1608, 2270, 2896, 3522, 4140, 4724, 5376]","[506, 1092, 1704, 2316, 2970, 3590, 4240, 4856, 5472]",1298,II,77.454,[ 130  426  736 1058 1373 1672 1992 2310 2611],72.750,137.500,325.750,620.250,102.000
0.034,"[546, 1400, 2176, 3012, 3772, 4572, 5336]","[632, 1486, 2258, 3092, 3854, 4656, 5418]",-0.107,"[578, 1442, 2212, 3102, 3812, 4618, nan]","[756, 1610, 2386, 3222, 3982, 4784, 5548]",-0.030,0.144,"[886, 1680, 2516, 3388, 4082, 4912, 5662]","[1006, 1718, 2640, 3476, 4232, 5040, 5804]",1299,II,60.196,[ 360  787 1175 1592 1973 2373 2756],83.143,162.667,391.333,798.667,119.714
0.031,"[620, 1366, 2112, 2794, 3530, 4258, 4926, 5580]","[698, 1438, 2180, 2866, 3604, 4332, 5002, 5662]",-0.124,"[660, 1404, 2224, 2834, 3570, 4298, 4966, nan]","[816, 1562, 2308, 2994, 3724, 4478, 5122, nan]",-0.077,0.197,"[946, 1684, 2430, 3112, 3840, 4588, 5268, nan]","[1056, 1806, 2542, 3230, 3962, 4706, 5348, nan]",1300,II,67.823,[ 389  762 1133 1477 1843 2207 2542 2871],74.500,149.714,384.857,709.143,123.429
