p_peaks,p_onsets,p_offsets,q_peaks,r_onsets,r_offsets,s_peaks,t_peaks,t_onsets,t_offsets,sample_idx,lead,heart_rate,r_peaks,pr_interval,qrs_complex,qt_interval,rr_interval,st_segment
0.043,"[336, 900, 1484, 2054, 2628, 3212, 3804, 4368, 4930, 5506]","[442, 984, 1566, 2142, 2732, 3298, 3890, 4456, 5012, 5612]",-0.246,"[426, 992, 1574, 2150, 2718, 3308, 3894, 4458, 5018, nan]","[550, 1110, 1704, 2278, 2840, 3408, 4034, 4602, 5198, 5750]",-0.171,0.184,"[612, 1180, 1772, 2324, 2896, 3500, 4074, 4640, 5204, 5788]","[714, 1288, 1870, 2442, 3012, 3604, 4188, 4744, 5312, nan]",1011,II,83.581,[ 238  520  810 1098 1383 1676 1970 2253 2532 2823],91.200,131.778,292.889,574.444,51.600
0.204,"[238, 900, 1588, 2276, 2958, 3634, 4334, 5004, 5684]","[312, 996, 1658, 2340, 3044, 3712, 4386, 5090, 5750]",-0.183,"[344, 1016, 1678, 2364, 3068, 3752, 4426, 5120, nan]","[418, 1094, 1754, 2444, 3144, 3826, 4502, 5194, nan]",-0.153,0.246,"[536, 1210, 1888, 2576, 3266, 3932, 4610, 5206, nan]","[634, 1322, 1966, 2672, 3356, 4026, 4722, 5234, nan]",1012,II,70.500,[ 192  530  860 1205 1554 1893 2234 2578 2916],74.667,76.000,270.500,681.000,106.000
0.312,"[226, 642, 1060, 1470, 1886, 2298, 2712, 3130, 3542, 3962, 4378, 4792, 5210]","[278, 702, 1104, 1518, 1932, 2348, 2764, 3180, 3590, 4012, 4430, 4840, 5254]",0.049,"[348, 720, 1126, 1586, 1954, 2418, 2780, 3202, 3612, 4034, 4444, 4862, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",-1.374,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1013,II,115.668,[ 190  395  601  810 1016 1225 1431 1639 1847 2055 2263 2470 2680],49.538,,,415.000,
0.148,"[280, 1030, 1806, 2576, 3330, 4104, 4876, 5644]","[350, 1106, 1874, 2646, 3400, 4176, 4946, 5712]",-0.137,"[392, 1146, 1922, 2692, 3448, 4220, 4992, nan]","[518, 1280, 2050, 2822, 3578, 4352, 5126, nan]",-0.175,-0.030,"[542, 1242, 2018, 2848, 3628, 4394, 5180, nan]","[610, 1344, 2136, 2904, 3676, 4458, 5214, nan]",1014,II,62.645,[ 222  599  986 1370 1748 2134 2521 2904],70.500,130.571,218.571,766.286,18.000
0.199,"[318, 810, 1290, 1780, 2274, 2766, 3262, 3752, 4250, 4746, 5240]","[380, 866, 1354, 1846, 2340, 2830, 3322, 3816, 4310, 4812, 5298]",-0.203,"[402, 888, 1366, 1864, 2356, 2848, 3344, 3832, 4278, 4830, nan]","[482, 968, 1450, 1942, 2434, 2928, 3424, 3914, 4412, 4910, 5406]",-0.201,0.144,"[578, 984, 1574, 2042, 2528, 3028, 3518, 4008, 4562, 4992, 5500]","[690, 1016, 1660, 2152, 2646, 3138, 3634, 4126, 4630, 5114, 5604]",1015,II,97.529,[ 222  466  707  952 1199 1446 1693 1938 2187 2435 2683],62.364,85.600,279.800,492.200,94.909
0.143,"[544, 1294, 2024, 2700, 3296, 3906, 4498, 5014]","[608, 1364, 2086, 2764, 3386, 3974, 4562, 5078]",-0.117,"[644, 1388, 2050, 2782, 3430, 4008, 4612, nan]","[786, 1528, 2258, 2940, 3564, 4160, 4752, 5274]",-0.114,0.238,"[936, 1730, 2424, 3090, 3708, 4298, 4890, 5412]","[1056, 1798, 2528, 3198, 3826, 4422, 5008, 5532]",1016,II,75.701,[ 370  746 1110 1450 1762 2059 2356 2617],68.250,153.429,417.429,642.000,153.250
0.261,"[592, 1230, 1872, 2516, 3014, 3800, 4418, 5024]","[686, 1326, 1966, 2612, 3072, 3894, 4510, 5122]",-0.109,"[646, 1298, 1938, 2584, 3050, 3868, 4482, nan]","[812, 1450, 2094, 2736, 3160, nan, 4640, nan]",-1.443,0.126,"[920, 1558, 2196, 2764, 3140, nan, 4738, nan]","[1058, 1700, 2342, 2864, 3262, nan, 4884, nan]",1017,II,77.853,[ 376  696 1017 1339 1557 1979 2289 2595],90.250,149.000,352.000,634.000,70.667
0.357,"[462, 1018, 1584, 2172, 2770, 3376, 3984, 4610, 5218]","[558, 1108, 1678, 2260, 2854, 3462, 4076, 4692, 5308]",-0.065,"[516, 1076, 1642, 2230, 2826, 3430, 4046, 4664, nan]","[656, 1216, 1786, 2370, 2966, 3572, 4188, 4806, 5416]",-1.560,0.519,"[764, 1314, 1882, 2480, 3064, 3678, 4266, 4906, 5530]","[896, 1454, 2028, 2608, 3204, 3808, 4426, 5040, 5664]",1018,II,80.794,[ 300  579  865 1156 1454 1757 2065 2374 2679],89.111,141.250,379.250,594.750,100.889
0.010,"[210, 926, 1646, 2292, 2990, 3720, 4402, 5086]","[262, 1008, 1682, 2382, 3082, 3752, 4484, 5168]",-0.184,"[304, 1024, 1716, 2394, 3102, 3814, 4498, nan]","[380, 1100, 1790, 2468, 3178, 3896, 4572, 5260]",-0.274,0.394,"[526, 1242, 1922, 2590, 3320, 4040, 4714, 5398]","[640, 1374, 2062, 2734, 3436, 4160, 4844, 5530]",1019,II,68.916,[ 171  532  877 1216 1571 1928 2267 2610],68.500,76.000,342.571,696.857,138.500
0.084,"[210, 864, 1522, 2180, 2836, 3490, 4134, 4816, 5428]","[314, 970, 1626, 2282, 2938, 3580, 4240, 4886, 5534]",-0.138,"[264, 1030, 1690, 2348, 3000, 3642, 4296, 4948, nan]","[458, 1112, 1772, 2428, 3082, 3726, 4378, 5030, 5674]",-0.281,0.277,"[574, 1240, 1890, 2526, 3200, 3850, 4496, 5154, 5806]","[688, 1346, 2016, 2666, 3314, 3960, 4620, 5272, nan]",1020,II,73.652,[ 208  536  865 1193 1519 1842 2168 2494 2815],98.889,96.000,333.000,651.750,119.556
0.038,"[364, 1142, 1934, 2744, 3540, 4324, 5134]","[450, 1204, 1996, 2808, 3586, 4382, 5186]",-0.120,"[400, 1266, 2008, 2820, 3596, 4392, nan]","[588, 1376, 2164, 2968, 3758, 4554, 5360]",-0.077,0.146,"[768, 1492, 2304, 3114, 3904, 4728, 5548]","[844, 1628, 2418, 3210, 4014, 4788, 5602]",1021,II,60.383,[ 275  669 1063 1465 1859 2256 2660],61.429,154.333,403.333,795.000,155.714
0.013,"[356, 1112, 1904, 2620, 3160, 3900, 4566, 5484]","[400, 1156, 1944, 2650, 3200, 3950, 4606, 5530]",-0.142,"[378, 1174, 1924, 2698, 3220, 3964, 4630, nan]","[516, 1280, 2062, 2780, 3356, 4072, 4734, 5666]",0.064,0.246,"[728, 1502, 2242, 2988, 3576, 4276, 4942, 5708]","[776, 1560, 2332, 3062, 3632, 4360, 5016, 5736]",1022,II,66.345,[ 243  626 1016 1375 1663 2019 2352 2817],41.750,116.000,392.857,735.429,187.000
0.401,"[446, 860, 3440, 4018, 5266]","[562, 928, 3504, 4142, 5414]",0.082,"[nan, 1044, 3680, 4198, nan]","[760, 1384, 3878, 4542, 5790]",-1.635,0.465,"[864, 1496, 4020, 4650, 5804]","[928, 1620, 4142, 4858, nan]",1023,II,48.721,[ 312  626 1874 2203 2849],104.000,294.000,566.000,1268.500,96.000
0.209,"[382, 872, 1374, 1862, 2328, 2832, 3326, 3806, 4294, 4776, 5274]","[468, 958, 1446, 1926, 2416, 2898, 3398, 3894, 4374, 4862, 5368]",-0.105,"[436, 978, 1408, 1892, 2382, 2876, 3358, 3852, 4344, 4880, nan]","[614, 1088, 1572, 2056, 2538, 3032, 3526, 4008, 4464, 4988, 5478]",-0.405,0.219,"[666, 1192, 1674, 2158, 2638, 3122, 3580, 4096, 4576, 5056, 5582]","[752, 1276, 1750, 2240, 2718, 3206, 3714, 4214, 4696, 5182, 5670]",1024,II,98.283,[ 261  505  747  990 1232 1479 1724 1969 2213 2458 2703],80.182,148.000,334.200,488.400,88.727
0.077,"[nan, 1050, 1848, 2556, 3270, 4034, 4826]","[282, 1144, 1938, 2632, 3360, 4122, 4916]",-0.189,"[298, 1158, 1962, 2672, 3386, 4142, nan]","[392, 1244, 2052, 2764, 3476, 4234, 5030]",-0.447,0.414,"[524, 1378, 2172, 2884, 3604, 4350, 5176]","[634, 1496, 2294, 3000, 3716, 4472, 5282]",1025,II,62.282,[ 172  600 1001 1357 1713 2092 2493],88.000,90.667,332.333,773.667,128.000
0.062,"[246, 1060, 1836, 2644, 3436, 4254, 5148]","[344, 1146, 1924, 2746, 3524, 4352, 5240]",-0.166,"[294, 1096, 1942, 2694, 3470, 4310, nan]","[450, 1264, 2042, 2854, 3644, 4464, 5354]",-0.436,0.420,"[582, 1368, 2160, 2984, 3758, 4596, 5484]","[688, 1498, 2280, 3096, 3886, 4704, 5592]",1026,II,58.847,[ 200  606  995 1401 1794 2206 2651],93.143,152.000,391.000,817.000,122.857
0.170,"[336, 896, 1466, 2040, 2616, 3210, 3848, 4436, 5060]","[410, 982, 1554, 2140, 2708, 3302, 3920, 4534, 5166]",-0.245,"[358, 1020, 1596, 2160, 2668, 3344, 3878, 4566, nan]","[520, 1102, 1688, 2258, 2828, 3426, 4034, 4672, 5268]",-0.252,0.330,"[624, 1208, 1790, 2356, 2952, 3580, 4160, 4772, 5372]","[730, 1320, 1884, 2482, 3050, 3634, 4244, 4902, 5496]",1027,II,80.942,[ 242  533  819 1107 1396 1693 1999 2309 2616],89.778,117.250,332.000,593.500,113.111
0.118,"[212, 1036, 1876, 2690, 3504, 4332, 5188]","[300, 1122, 1952, 2782, 3590, 4432, 5270]",-0.144,"[314, 1084, 1998, 2816, 3608, 4468, nan]","[466, 1276, 2112, 2930, 3746, 4580, 5432]",-0.091,0.415,"[588, 1412, 2244, 3072, 3878, 4708, 5588]","[700, 1524, 2358, 3180, 3992, 4824, 5678]",1028,II,57.842,[ 207  620 1036 1446 1854 2270 2697],87.143,137.000,381.667,830.000,135.429
-0.026,"[626, 1174, 1496, 2236, 2874, 3640, 4478, 5090, 5454]","[682, 1224, 1622, 2260, 2918, 3710, 4508, 5116, 5592]",-0.113,"[730, nan, 1700, nan, nan, nan, nan, 5176, nan]","[820, 1388, 1854, 2430, 3090, 3872, 4674, 5346, 5782]",-0.082,0.038,"[980, 1380, 2002, 2442, 3072, 3852, 4822, 5460, 5796]","[1084, 1448, 2104, 2478, 3110, 3898, 4940, 5592, 5830]",1029,II,80.027,[ 390  673  908 1194 1517 1897 2310 2637 2870],62.667,138.000,391.333,620.000,61.111
0.168,"[nan, 1208, 1960, 2778, 3582, 4456, 5270]","[nan, 1268, 2068, 2882, 3688, 4516, 5328]",-0.052,"[nan, 1288, 2106, 2904, 3718, 4536, nan]","[392, 1430, 2248, 3044, 3858, 4682, 5498]",-0.615,0.157,"[582, 1638, 2436, 3248, 3990, 4856, 5520]","[664, 1706, 2474, 3318, 4086, 4952, 5556]",1030,II,56.878,[ 157  673 1078 1481 1886 2296 2706],82.667,142.000,396.800,849.667,159.714
0.220,"[nan, 716, 1522, 2352, 3158, 3982, 4800, 5620]","[238, 792, 1588, 2428, 3254, 4064, 4886, 5722]",-0.055,"[402, 758, 1566, 2394, 3202, 4026, 4852, nan]","[558, 944, 1754, 2582, 3390, 4214, 5040, nan]",-0.501,0.055,"[720, 920, 1856, 2554, 3364, 4186, 5130, nan]","[792, 992, 1930, 2642, 3458, 4280, 5216, nan]",1031,II,67.962,[ 245  433  837 1251 1656 2066 2479 2885],83.429,183.143,301.429,754.286,35.429
0.292,"[624, 1470, 2368, 3198, 3336, 4082, 5010]","[728, 1578, 2472, 3300, 3396, 4182, 5112]",-0.144,"[686, 1528, 2420, 3248, 3522, 4132, nan]","[846, 1690, 2586, 3414, 3748, 4304, 5250]",-0.169,0.298,"[1006, 1854, 2756, 3594, 3948, 4470, 5396]","[1114, 1950, 2854, 3682, 4012, 4586, 5498]",1032,II,77.698,[ 400  823 1270 1683 1816 2126 2590],97.143,175.333,443.667,730.000,169.429
0.229,"[992, 1922, 2852, 3790, 4736]","[1102, 2024, 2958, 3896, 4834]",-0.084,"[1064, 1990, 2916, 3850, nan]","[1234, 2160, 3088, 4024, 4970]",-1.400,0.169,"[1344, 2266, 3150, 4108, 5034]","[1420, 2344, 3240, 4166, 5096]",1033,II,51.395,[ 571 1033 1499 1965 2439],104.400,171.500,337.500,934.000,85.200
